id,Latitude,Longitude
1,44.11447,69.58409
2,44.12334,69.33896
3,44.12482,69.29364
4,44.30248,69.59541
5,44.25516,69.52158
6,44.28159,69.52193
7,44.22749,69.38849
8,44.27502,69.14758
9,44.2679,69.2183
10,44.22732,69.16131
11,42.36318,70.59049
12,42.36391,70.59714
13,42.34995,70.65272
14,42.37513,70.61972
15,42.35607,70.57397
16,42.83027,71.97576
17,42.8121,71.99882
18,42.80555,71.99899
19,42.80366,71.94818
20,42.80599,71.96054
21,42.82205,71.94844
22,42.8172,71.91651
23,42.82601,71.93608
24,42.82998,71.89111
25,42.82274,71.92604
26,42.82973,71.91969
27,42.82028,71.9117
28,42.20164,71.55956
29,42.20634,71.51218
30,42.19744,71.489
31,42.18778,71.45295
32,42.22135,71.38429
33,42.23113,71.34755
34,42.20024,71.40317
35,42.2066,71.39116
36,42.21245,71.34103
37,42.22808,71.2837
38,42.23505,71.22335
39,42.21064,71.26455
40,42.26707,71.16464
41,42.29844,71.14679
42,42.31304,71.03195
43,42.29932,71.12345
44,42.2644,70.98663
45,42.2964,70.99144
46,42.28244,70.97771
47,42.29818,71.04843
48,42.30631,70.96398
49,41.86705,70.11962
50,41.87044,70.12855
51,41.86756,70.14648
52,41.8781,70.31575
53,41.92946,70.19765
54,41.89088,70.19765
55,41.92206,70.2258
56,42.1251,70.45547
57,42.11161,70.43882
58,42.09492,70.41462
59,42.07454,70.4081
60,42.09225,70.43264
61,42.07403,70.38303
62,42.0883,70.5262
63,42.1074,70.49496
64,42.12166,70.46886
65,42.15883,70.53478
66,42.28098,70.77919
67,42.31755,70.84013
68,42.32593,70.80717
69,42.3093,70.78382
70,42.31197,70.70434
71,42.31108,70.65628
72,42.36986,70.80829
73,42.34601,70.80987
74,42.34278,70.81781
75,42.36352,70.82201
76,42.36935,70.7815
77,42.33434,70.71833
78,42.33028,70.68743
79,43.51892,69.44972
80,43.52365,69.4371
81,43.49264,69.4258
82,43.42335,69.61423
83,43.49624,69.68282
84,43.50678,69.65643
85,43.51128,69.63992
86,43.54076,69.54966
87,43.54428,69.53882
88,43.13145,71.04275
89,43.141,71.0317
90,43.24426,70.91756
91,43.25173,70.91156
92,43.28397,70.87473
93,43.83696,70.97569
94,43.82306,70.97015
95,43.80279,70.96917
96,43.76375,70.94385
97,43.6979,70.93246
98,43.68603,70.93098
99,43.65247,70.9273
100,43.66613,70.92669
101,43.61491,70.92616
102,43.6049,70.922
103,43.538,70.89834
104,43.50666,70.88672
105,43.51727,70.86874
106,43.75541,70.1009
107,43.75249,70.10914
108,43.80446,70.18468
109,43.78359,70.53459
110,43.79325,70.53438
111,43.6788,70.51204
112,43.69026,70.52674
113,43.70425,70.52009
114,43.71473,70.50871
115,43.58749,70.25615
116,43.6105,70.24267
117,43.54992,70.3302
118,43.56528,70.31544
119,43.72211,69.52105
120,43.71209,69.52736
121,43.40769,70.01426
122,43.41001,70.0075
123,43.41152,70.00806
124,43.42378,69.98241
125,43.42235,69.97198
126,43.42989,69.94932
127,43.44086,69.90654
128,43.42841,69.92538
129,43.43405,69.92658
130,43.36774,68.11575
131,43.37398,68.10506
132,42.78709,69.66183
133,42.80634,69.65745
134,42.79888,69.65852
135,42.93529,69.63914
136,42.93441,69.62481
137,42.94641,69.63125
138,42.99413,69.50153
139,42.99909,69.5193
140,43.00887,69.45414
141,43.01165,69.44382
142,43.01199,69.44794
143,43.02834,69.40554
144,43.03806,69.37833
145,43.03751,69.28101
146,43.04717,69.28093
147,43.08324,69.17525
148,43.08958,69.13556
149,43.74196,67.52379
150,43.66094,67.61279
151,43.93067,68.81427
152,44.12568,68.484
153,44.05713,68.56502
154,43.48596,70.62168
155,43.51211,70.61412
156,43.27161,70.44214
157,43.27842,70.42841
158,43.28498,70.41262
159,43.19888,70.46677
160,43.18909,70.41849
161,43.19102,70.40635
162,43.14583,70.43204
163,43.14878,70.47701
164,42.9085,70.52594
165,42.71693,70.87394
166,42.71983,70.87235
167,42.73665,70.87703
168,42.80411,71.07508
169,42.80619,71.13173
170,42.80505,71.1089
171,42.94962,70.88679
172,42.93974,70.83446
173,42.93348,70.7873
174,42.933,70.76014
175,42.94745,70.6829
176,42.9433,70.71165
177,42.92602,70.73139
178,42.91726,70.78219
179,42.90368,70.75764
180,42.95533,71.04441
181,42.94559,71.0693
182,42.94666,71.11076
183,42.95043,71.08123
184,43.27638,71.57612
185,43.28049,71.56233
186,43.28027,71.5689
187,43.40102,71.56953
188,43.38262,71.57047
189,43.39971,71.58292
190,43.41504,71.54985
191,43.40794,71.54839
192,43.38129,71.46051
193,43.40357,71.45222
194,43.40258,71.41548
195,43.41586,71.40707
196,43.4345,71.3845
197,43.95765,70.96252
198,43.94195,70.94724
199,43.91574,70.94742
200,43.92413,70.86048
201,43.93291,70.83913
202,43.94447,70.82488
203,43.9517,70.83433
204,43.93712,70.70346
205,43.93119,70.72093
206,43.93502,70.71234
207,43.93008,70.63402
208,43.92828,70.61887
209,43.92163,70.57769
210,43.92504,70.56894
211,43.92833,70.51925
212,43.93246,70.5187
213,43.96702,70.47802
214,43.96864,70.48637
215,43.96833,70.47435
216,43.96914,70.47506
217,44.01638,70.41846
218,44.01046,70.44103
219,44.01537,70.42262
220,44.03731,70.3797
221,44.05276,70.45947
222,44.21148,70.08601
223,44.21296,70.07966
224,44.14824,70.23819
225,44.14972,70.23019
226,44.1484,70.23716
227,44.15038,70.24014
228,44.15063,70.24293
229,44.09923,70.31164
230,44.0971,70.31299
231,44.09623,70.32912
232,44.0642,70.32974
233,43.98569,70.33008
234,43.98813,70.33115
235,44.00367,70.32057
236,44.00627,70.31737
237,44.01318,70.31548
238,44.01507,70.31136
239,43.99041,70.28638
240,43.99152,70.28638
241,43.99913,70.28726
242,44.00629,70.28606
243,43.95342,70.36467
244,43.93841,70.37411
245,43.93272,70.36064
246,43.89953,70.2836
247,43.9157,70.25283
248,43.91703,70.23995
249,43.91091,70.24699
250,43.92455,70.23708
251,43.93092,70.23004
252,43.92999,70.21364
253,43.91245,69.80943
254,43.91463,69.80649
255,43.89762,69.77001
256,43.90811,69.71885
257,43.9363,69.7216
258,43.97387,69.78271
259,43.96102,69.71542
260,44.00183,67.2298
261,44.0739,67.122
262,44.11828,67.03754
263,44.13307,66.95926
264,44.0149,67.47507
265,44.01368,67.46924
266,44.01511,67.44408
267,44.00755,67.43767
268,44.00216,67.42584
269,44.00121,67.43305
270,43.99357,67.41169
271,43.97372,67.37392
272,43.96192,67.35203
273,43.67196,68.09498
274,43.62636,68.05283
275,43.63289,68.05658
276,43.62419,68.05996
277,43.60025,68.07593
278,43.60143,68.06814
279,43.5809,68.08903
280,43.57263,68.09672
281,43.54693,68.11906
282,43.54635,68.1203
283,43.5452,68.12416
284,43.54748,68.11409
285,43.53503,68.19262
286,43.53536,68.19015
287,43.53735,68.17702
288,43.53592,68.20303
289,43.53549,68.19897
290,43.53379,68.21454
291,43.52815,68.23342
292,43.52577,68.24782
293,43.52397,68.2946
294,43.44346,68.55729
295,43.43966,68.55304
296,43.42716,68.63167
297,43.43209,68.61965
298,43.43215,68.60124
299,43.43243,68.69557
300,43.4314,68.68536
301,43.43177,68.72531
302,43.43636,68.74351
303,43.43311,68.76938
304,43.69861,69.23927
305,43.7125,69.21867
306,43.76707,69.17472
307,43.68892,69.11189
308,43.6554,69.08924
309,43.64745,69.06743
310,43.61465,69.04615
311,44.24925,69.23985
312,44.33839,69.23224
313,44.2844,69.39691
314,44.3701,69.02818
315,44.275,69.09559
316,44.2123,69.24226
317,44.21288,69.19261
318,44.31215,69.32041
319,44.3783,69.33128
320,44.06514,69.19344
321,44.0818,69.27002
322,44.12414,69.45566
